グループ,No.,カテゴリ,店舗・施設名,都道府県,住所,電話番号,公式URL,InstagramURL,問い合わせフォームURL,メールアドレス,ハラル認証状況,使用食材（競合情報）,優先度,アプローチメモ
神戸牛グループ,62,ステーキ,年中万菜録 空輪 Coorin（ハラル神戸牛）,大阪府,大阪市浪速区（動物園前駅徒歩5分）,06-6964-8683,https://coorin.jp/,https://www.instagram.com/halalkobebeef_coorin/,,,ハラール認証済（神戸牛）,ハラル神戸牛（競合）,★★,2024年10月オープン。礼拝室あり。6コース→天幸牛乗換提案
近江牛グループ,29,焼肉,Osaka Halal Wagyu Steak Yakiniku Furusato,大阪府,大阪市中央区心斎橋筋2-3-31 1F,080-4563-1996,https://kem3700.gorp.jp/,https://www.instagram.com/halal_wagyu_yakiniku__furusato/,,,ハラール認証済,A5近江牛（競合）,★★,A5近江牛使用→天幸牛への乗換提案。多言語スタッフ在籍
近江牛グループ,37,焼肉,Halal A5 Wagyu Yakiniku Sudaku Kyoto（総合近江牛商社）,京都府,京都市上京区春帯町355-4,070-1489-5774,https://www.groovyjapan.com/en/sudaku-kyoto/,https://www.instagram.com/halal_wagyu_sudaku/,,,京都ハラル協議会認証,近江牛A5（競合）,★★,近江牛使用→天幸牛への乗換提案。2025年11月新規オープン
伊賀牛グループ,51,焼肉,忍者焼肉 浅草店（Ninja Yakiniku Wagyu）,東京都,台東区浅草1-16-11 The room浅草7F,03-6284-7229,https://ninjya-yakiniku.com/,https://www.instagram.com/ninja.yakiniku.asakusa/,https://ninjya-yakiniku.com/contact,,ハラール認証済,伊賀牛A5（競合）,★★,2024年4月オープン。礼拝スペースあり。忍者テーマ内装。伊賀牛→天幸牛乗換提案
伊賀牛グループ,52,焼肉,忍者焼肉 日暮里店（Ninja Yakiniku Wagyu）,東京都,荒川区東日暮里,,https://ninjya-yakiniku.com/,https://www.instagram.com/ninjayakinikunippori1/,https://ninjya-yakiniku.com/contact,,ハラール認証済,伊賀牛A5（競合）,★★,2025年8月オープン。食べ放題A5伊賀牛あり。忍者テーマ。伊賀牛→天幸牛乗換提案
その他競合牛グループ,8,焼肉,権八 西麻布（GONPACHI）,東京都,港区西麻布1-13-11 1-2F,03-5771-0170,https://gonpachi.jp/nishi-azabu/,https://www.instagram.com/gonpachi_nishi_azabu/,https://gonpachi.jp/nishi-azabu/#contact,,ハラール認証済,尾崎牛（競合）,★★,ハラール黒毛和牛コース提供。天幸牛への食材提案
その他競合牛グループ,12,焼肉,元気大将 新宿歌舞伎町,東京都,新宿区歌舞伎町2-9-3 三経59 1F,03-6233-8857,https://tabelog.com/en/tokyo/A1304/A130401/13234152/,,,,,全席ハラール,宮崎牛・鹿児島牛（競合）,★,宮崎牛指定店。オーナーはパキスタン人。乗換提案可
その他競合牛グループ,40,焼肉,極味や（全16店舗展開）,福岡ほか全国,福岡・東京・名古屋・沖縄など全16店舗,,https://kiwamiya.com/,https://www.instagram.com/kiwamiya_fukuoka/,https://kiwamiya.com/contact,,福岡マスジド認証済,伊万里牛（競合）,★★,全国16店舗。博多店・福岡PARCO店・大名店・藤崎店ほか
ハラル認証済み（天幸牛新規提案）,1,焼肉,和牛焼肉ぱんが 新御徒町本店,東京都,台東区（新御徒町駅徒歩1分）,03-3839-8929,https://www.wagyu-panga.jp/,https://www.instagram.com/halalpanga/,,,JHF認証済,A5ハラル和牛,★★★,PANGAグループ旗艦店。仕入れ先の追加・切替を提案
ハラル認証済み（天幸牛新規提案）,2,焼肉,和牛焼肉ぱんが 浅草店,東京都,台東区雷門2-1-13 4F,03-6231-6229,https://www.wagyu-panga.jp/,https://www.instagram.com/halalpanga_ueno/,,,JHF認証済,A5ハラル和牛,★★★,PANGAグループ2号店
ハラル認証済み（天幸牛新規提案）,7,焼肉,炭火焼肉うしざか,東京都,港区西麻布4-3-2 田丸ビルB1F,03-6452-6929,https://ushizaka.com/,https://www.instagram.com/yakiniku_ushizaka/,,,ムスリムフレンドリー,,★★,
ハラル認証済み（天幸牛新規提案）,18,複合施設,SANGA.TOKYO（神楽坂 全食材ハラール認証）,東京都,新宿区若宮町11-3 神楽坂（飯田橋駅徒歩7分）,03-4226-9543,https://sanga-tokyo.com/en/,https://www.instagram.com/sanga.kagurazaka/,https://sanga-tokyo.com/en/contact,,JHF認証（2026年1月取得）,,★★,A5ハラル和牛会席＋江戸前寿司＋カラオケの複合施設
ハラル認証済み（天幸牛新規提案）,19,ホテル,&Here TOKYO UENO（ホテル内PANGA出店）,東京都,台東区上野2-11-18,03-6240-1161,https://andherehotels.jp/tokyoueno/en/,https://www.instagram.com/and_here_hotels_tokyo/,https://andherehotels.jp/tokyoueno/en/contact/,,PANGA（JHF認証）が出店,,★★,PANGAが入居するホテル。ホテル側への直接提案も可
ハラル認証済み（天幸牛新規提案）,30,焼肉,焼肉の店 ぜろはち 難波OCAT本店,大阪府,大阪市浪速区湊町1-4-1 OCATモール5F,06-6635-3022,https://zerohachi-namba.gorp.jp/,https://www.instagram.com/zerohachi_namba/,,,ハラール認証済,和牛・アカ牛,★★,ハラル食材のみ・食べ放題コースあり
ハラル認証済み（天幸牛新規提案）,33,焼肉,ハラール焼肉 成田屋 祇園店,京都府,京都市東山区林下町424 サンピアザビル1F,075-744-1350,,,,,naritaya.reservation@gmail.com,ハラール認証済,和牛,★★,京都初の100%ハラル焼肉。全品和牛使用
ハラル認証済み（天幸牛新規提案）,47,すき焼き・しゃぶしゃぶ,HALAL WAGYU SUKIYAKI HALRA 春爛 京都,京都府,京都市中京区木屋町通四条上る鍋屋町218-2 Merage木屋町1F,075-600-9892,,https://www.instagram.com/halra_kyoto/,,,ハラール認証済,A5ハラル和牛,★★★,木屋町・四条エリアの関西風すき焼き専門店。NAVITOが複数回紹介
ハラル認証済み（天幸牛新規提案）,48,焼肉,HALAL WAGYU STALL 渋谷,東京都,渋谷区宇田川町29-3 北田ビル,090-5337-8570,,https://www.instagram.com/shibuyawagyubeef/,,,ハラール認証済,ハラル和牛,★★,渋谷センター街近く。NAVITOが紹介
ハラル認証済み（天幸牛新規提案）,49,焼肉,HALAL WAGYU YAKINIKU & RAMEN NARUTO 鳴門 渋谷,東京都,渋谷区宇田川町13-8 ちとせ会館2F,070-5365-2551,https://halalwagyu-naruto.com/,https://www.instagram.com/halal_wagyu_yakiniku_naruto/,,,ハラール認証済,A5ハラル和牛,★★★,渋谷A2出口徒歩3分。焼肉・ラーメン・寿司・天ぷら複合業態。NAVITOが紹介
ハラル認証済み（天幸牛新規提案）,50,焼肉,Halal Wagyu Yakiniku IWASAKI 上野（和牛焼肉岩崎）,東京都,台東区上野2-8-2 湯島ケイワンビルA,03-5817-8314,,https://www.instagram.com/yakiniku_iwasaki/,,,ハラール認証済,A5ハラル和牛,★★,上野広小路駅徒歩2分。手切り黒毛和牛専門。NAVITOが紹介
ハラル認証済み（天幸牛新規提案）,53,焼肉,さくら焼肉（SAKURA YAKINIKU）名古屋,愛知県,名古屋市港区名四町128-2 SRビル,,https://sakurayakiniku.com/,https://www.instagram.com/sakura_yakiniku_halal/,https://sakurayakiniku.com/contact/,support@sakurayakiniku.com,ハラール認証済,ハラル和牛,★★,焼肉＋スリランカ料理複合業態。NAVITOが紹介。東海エリア唯一クラスのハラル焼肉
ハラル認証済み（天幸牛新規提案）,54,焼肉,焼肉2+9 浜松町（YAKINIKU 29 Hamamatsucho）,東京都,港区浜松町（浜松町駅徒歩5分・大門駅徒歩1分）,,https://yakiniku29.owst.jp/,https://www.instagram.com/yakiniku.2tasu9/,,,ハラール認証済,A5黒毛和牛,★★,VIPルームあり。ランチ・ディナー営業。英語メニュー
ハラル認証済み（天幸牛新規提案）,55,すき焼き・しゃぶしゃぶ,車屋別館（しゃぶしゃぶ・すき焼き・鉄板焼）,東京都,新宿区新宿5-17-11,03-3352-5566,https://kuruma-ya.co.jp/shop/bekkan,,,ハラール対応,和牛,★★,新宿近くのしゃぶしゃぶ・すき焼き・鉄板焼き複合業態
ハラル認証済み（天幸牛新規提案）,58,ラーメン,HALAL WAGYU RAMEN 新宿亭 大阪梅田店,大阪府,大阪市北区（梅田）,,https://www.halal-ramen-shinjuku.shop/,,,info@ken-company-llc.com,ハラール認証済,A5ハラル和牛,★★★,新宿亭グループ大阪1号店。A5和牛ステーキ・カツも提供。英語メニュー
ハラル認証済み（天幸牛新規提案）,59,すき焼き・しゃぶしゃぶ,岡山 Megu（プライベートハラルしゃぶしゃぶ）,岡山県,岡山市（詳細要確認）,086-289-5341,https://hitorinabe-megu.gorp.jp/,https://www.instagram.com/megu5279/,,,ハラール認証済,A5ハラル和牛,★★,完全プライベートダイニング形式のハラルしゃぶしゃぶ。岡山エリア
ハラル認証済み（天幸牛新規提案）,60,すき焼き・しゃぶしゃぶ,和牛すき焼き 京都ぱんが（Wagyu Sukiyaki Kyoto PANGA）,京都府,京都市中京区下丸屋町410 ユニティー河原町B1F,075-741-8115,https://sites.google.com/view/halalwagyushukiyakikyotopanga,https://www.instagram.com/wagyupanga_kyoto/,,,ハラール認証済（A5黒毛和牛）,A5黒毛和牛,★★★,PANGAグループ京都店。すき焼き専門。和牛ステーキも提供。河原町エリア
ハラル認証済み（天幸牛新規提案）,61,焼肉,神戸肉處 和心 WASHIN（Kobe Nikudokoro Washin）,兵庫県,神戸市中央区（三宮駅徒歩8分）,078-954-8205,https://kobebeef-washin.com/,https://www.instagram.com/washin_nikudokoro2023/,https://kobebeef-washin.com/contact.html,,ハラール認証済,A5黒毛和牛,★★★,ランチ・ディナー営業。完全ハラル焼肉。神戸エリアの貴重なハラル焼肉専門店
ハラル認証済み（天幸牛新規提案）,64,すき焼き・しゃぶしゃぶ,THE SLICE（表参道・ハラルしゃぶしゃぶ・すき焼き）,東京都,渋谷区（表参道駅徒歩2分）,03-6427-3532,https://www.slice-omotesando.com/,https://www.instagram.com/thesliceomotesando/,,,ハラール認証済,A5ハラル和牛,★★★,2025年8月オープン。個別鍋カウンター＋個室。英語メニュー。インバウンド富裕層向け
ホテル・旅館グループ,31,ホテル,シェラトン都ホテル大阪（日本料理うえまち・eu）,大阪府,大阪市天王寺区,0120-333-001,https://www.miyakohotels.ne.jp/osaka/,https://www.instagram.com/sheratonmiyakoosaka/,https://www.miyakohotels.ne.jp/osaka/contact/,,ハラール認証（JMF）,,★★,牛フィレグリル等を提供。ホテル向け安定供給として提案
ホテル・旅館グループ,32,ホテル,ホテルプラザオーサカ「花伝」,大阪府,大阪市北区（梅田）,050-5488-7936,https://plazaosaka.com/,https://www.instagram.com/hotel_plazaosaka/,https://plazaosaka.com/contact.html,,ハラールフレンドリー,ハラル認証牛,★★,しゃぶしゃぶ・すき焼きコース（3日前要予約）
ホテル・旅館グループ,43,ホテル,APARTMENT HOTEL MIMARU（全国15拠点）,全国,全国主要都市（東京・大阪・京都等）,,https://mimaruhotels.com/en/,https://www.instagram.com/mimaruhotels/,https://mimaruhotels.com/en/contact-us/,,SHINJUKU-TEI赤坂と提携,,★,全国展開のアパートメントホテル。体験提携先として提案可
ホテル・旅館グループ,56,ホテル,日光金谷ホテル（NIKKO KANAYA HOTEL）,栃木県,日光市上鉢石町1300,0288-54-0001,https://www.kanayahotel.co.jp/,https://www.instagram.com/kanayahotel_nikko/,https://www.kanayahotel.co.jp/contact/,,ハラールメニュー対応（要確認）,和牛,★★,日本最古のリゾートホテル（1873年創業）。富裕層インバウンド向け
ホテル・旅館グループ,57,ホテル,サホロリゾートホテル（SAHORO RESORT HOTEL）,北海道,上川郡新得町,0156-64-4121,https://www.sahoro.co.jp/hotel/,https://www.instagram.com/tokachi_sahoro_resort_official/,https://sahoro.co.jp/inquiry,,ハラールメニュー対応（要1週間前予約）,北海道産和牛,★★,北海道スキーリゾート。ハラルフード要1週間前予約。北海道産牛肉使用→天幸牛提案
ホテル・旅館グループ,63,ホテル,山一別館（Yamaichi Bekkan）宮島,広島県,廿日市市宮島町1162-4,0829-44-0700,https://www.yamaichibekkan.com/,https://www.instagram.com/yamaichi_bekkan/,,,ハラール認証済（A5和牛・専用器具使用）,A5ハラル和牛,★★★,宮島の高級料亭旅館。18畳礼拝室・ウドゥ設備完備。専用ハラルキッチン。富裕層インバウンド
