No.,カテゴリ,店舗・施設名,都道府県,住所,電話番号,公式URL,問い合わせ先,ハラル認証状況,使用食材（競合情報）,優先度,アプローチメモ
18,複合施設,SANGA.TOKYO（神楽坂 全食材ハラール認証）,東京都,新宿区若宮町11-3 神楽坂（飯田橋駅徒歩7分）,,https://sanga-tokyo.com/en/,サイト問合せ,JHF認証（2026年1月取得）,,★★,A5ハラル和牛会席＋江戸前寿司＋カラオケの複合施設。2026年新規認証取得
19,ホテル,&Here TOKYO UENO（ホテル内PANGA出店）,東京都,台東区上野2-11-18,03-6240-1161,https://andherehotels.jp/tokyoueno/en/activity/halal-wagyu-yakiniku-panga/,TEL,PANGA（JHF認証）が出店,,★★,PANGAが入居するホテル。ホテル側への直接提案も可
20,ステーキ,和牛の刀 浅草本店,東京都,台東区浅草（浅草駅徒歩5分・雷門近く）,,https://wagyukatana.com/asakusahonten/,https://wagyukatana.com/company/,ハラル神戸牛導入済,神戸牛（競合）,★★★,吉祥吉グループ運営（全46店舗チェーン）。天幸牛の追加・代替仕入れを提案
21,ステーキ,和牛の刀 浅草2号店,東京都,台東区浅草,,https://wagyukatana.com/asakusa2/,https://wagyukatana.com/company/,ハラル神戸牛導入済,神戸牛（競合）,★★★,吉祥吉グループ
22,ステーキ,和牛の刀 西新宿1号店,東京都,新宿区西新宿,,https://wagyukatana.com/nishishinnjuku1/,https://wagyukatana.com/company/,ハラル神戸牛導入済,神戸牛（競合）,★★★,吉祥吉グループ
23,ステーキ,和牛の刀 ひさご通り店,東京都,台東区浅草エリア,,https://wagyukatana.com/hisagodori/,https://wagyukatana.com/company/,ハラル神戸牛導入済,神戸牛（競合）,★★★,吉祥吉グループ
24,焼肉,焼肉たかやま 大崎店,東京都,品川区大崎2-1-1 Think Park 2F,03-3491-2919,https://yakiniku-takayama-ohsaki.owst.jp/,TEL・サイト,不明（要確認）,黒樺牛（競合）,★★,黒樺牛仕入れ確認。ハラル認証有無確認後に天幸牛提案
25,焼肉,焼肉たかやま 新橋店,東京都,港区新橋,,https://yakinikutakayama-shinbashi.owst.jp/,TEL・サイト,不明（要確認）,黒樺牛（競合）,★★,黒樺牛仕入れ確認。ハラル認証有無確認後に天幸牛提案。IG: @yakiniku.takayama
26,焼肉,焼肉たかやま 港南台店,神奈川県,横浜市港南区,,https://takayama-konandai.owst.jp/,TEL・サイト,不明（要確認）,黒樺牛（競合）,★,黒樺牛仕入れ確認。横浜エリア
27,ステーキ,和牛の刀 心斎橋1号店,大阪府,大阪市中央区心斎橋（道頓堀・心斎橋近く）,,https://wagyukatana.com/shinsaibashi1/,https://wagyukatana.com/company/,ハラル神戸牛導入済,神戸牛（競合）,★★★,吉祥吉グループ。大阪12店舗の主力店
28,ステーキ,和牛の刀 神戸・大阪・京都 各店舗（計40店舗）,兵庫・大阪・京都,神戸24店・大阪12店・京都4店,,https://wagyukatana.com/store/,https://wagyukatana.com/company/,ハラル神戸牛導入済,神戸牛（競合）,★★★,本社への一括提案が最効率
29,焼肉,Osaka Halal Wagyu Steak Yakiniku Furusato,大阪府,大阪市中央区心斎橋筋2-3-31 1F,080-4563-1996,https://kem3700.gorp.jp/,直電,ハラール認証済,A5近江牛（競合）,★★,A5近江牛使用→天幸牛への乗換提案。多言語スタッフ在籍
30,焼肉,焼肉の店 ぜろはち 難波OCAT本店,大阪府,大阪市浪速区湊町1-4-1 OCATモール5F,,https://zerohachi-namba.gorp.jp/,サイト問合せ,ハラール認証済,和牛・アカ牛,★★,ハラル食材のみ・食べ放題コースあり
31,ホテル,シェラトン都ホテル大阪（日本料理うえまち・eu）,大阪府,大阪市天王寺区,0120-333-001,https://www.miyakohotels.ne.jp/osaka/topic/event/2101/,予約センター電話,ハラール認証（JMF）,,★★,牛フィレグリル等を提供。ホテル向け安定供給として提案
32,ホテル,ホテルプラザオーサカ「花伝」,大阪府,大阪市北区（梅田）,,https://plazaosaka.com/,サイト問合せ,ハラールフレンドリー,ハラル認証牛,★★,しゃぶしゃぶ・すき焼きコース（3日前要予約）。IG: @hotel_plazaosaka
33,焼肉,ハラール焼肉 成田屋 祇園店,京都府,京都市東山区林下町424 サンピアザビル1F,075-744-1350,,直電,ハラール認証済,和牛,★★,京都初の100%ハラル焼肉。全品和牛使用
34,ラーメン,ハラル和牛ラーメン 和牛座（WAGYUZA）NAVITOプロデュース,京都府,京都市（2026年4月オープン）,,https://www.instagram.com/wagyuza_halal/,fc@motaras.co.jp,ハラール認証済,,★★★,NAVITOプロデュース。FC急拡大中→指定食材化を提案
35,ラーメン,HALAL WAGYU RAMEN SHINJUKU-TEI 清水店,京都府,京都市清水寺近く,,https://www.halal-shinjukutei.com/kiyomizu-store,info@ken-company-llc.com,ハラール認証済,,★★,新宿亭グループ京都1号店
36,ラーメン,HALAL WAGYU RAMEN SHINJUKU-TEI 祇園店,京都府,京都市祇園（2025年11月オープン）,,https://www.halal-shinjukutei.com/,info@ken-company-llc.com,ハラール認証済,,★★,新宿亭グループ京都2号店
37,焼肉,Halal A5 Wagyu Yakiniku Sudaku Kyoto（総合近江牛商社）,京都府,京都市上京区春帯町355-4,070-1489-5774,https://www.groovyjapan.com/en/sudaku-kyoto/,TEL・IG(@halal_wagyu_sudaku),京都ハラル協議会認証,近江牛A5（競合）,★★,近江牛使用→天幸牛への乗換提案。2025年11月新規オープン
38,ステーキ,元祖 鉄板焼ステーキ みその 神戸本店,兵庫県,神戸市（三宮）,,https://misono.org/halal/,メール予約のみ（サイト参照）,ハラール認証済,ハラル神戸牛（競合）,★,世界初ハラール神戸牛ステーキ。完全予約制。三田食肉公社仕入れ
39,精肉・卸,神戸元町 辰屋（ハラル神戸牛卸・通販）,兵庫県,神戸市中央区元町,078-331-3016,https://kobebeef.co.jp/,直電,ハラール神戸牛取扱（辰屋ブランド）,神戸牛（競合）,★,精肉店・EC・一部レストランへ卸。競合仕入れ先として把握
40,焼肉,極味や（全16店舗展開）,福岡ほか全国,福岡・東京・名古屋・沖縄など全16店舗,,https://kiwamiya.com/,サイト問合せ / X: @kiwamiya000,福岡マスジド認証済,伊万里牛（競合）,★★,全国16店舗。博多店・福岡PARCO店・大名店・藤崎店ほか。X経由もDM可
41,ラーメン,HALAL WAGYU RAMEN SHINJUKU-TEI 札幌店,北海道,札幌市中央区南3条東1-6 2F,,https://www.halal-shinjukutei.com/sapporo-store,info@ken-company-llc.com,ハラール認証済,,★★,礼拝スペースあり。新宿亭グループ北海道店
42,ステーキ,和牛の刀 広島1号店,広島県,広島市,,https://wagyukatana.com/hiroshima1/,https://wagyukatana.com/company/,ハラル神戸牛導入済,神戸牛（競合）,★★,吉祥吉グループ
43,ホテル,APARTMENT HOTEL MIMARU（全国15拠点）,全国,全国主要都市（東京・大阪・京都等）,,https://mimaruhotels.com/en/,サイト問合せ,SHINJUKU-TEI赤坂と提携（体験プログラム案内済）,,★,全国展開のアパートメントホテル。体験提携先として提案可
44,インフルエンサー,NAVITO（@navito_halal）,東京都,Instagram / TikTok,,https://www.instagram.com/navito_halal/,InstagramDM / fc@motaras.co.jp（和牛座FC）,- ,- ,★★★,100万フォロワー超。和牛座FC拡大中→指定仕入れ食材化が最大チャンス
45,インフルエンサー,高雄咲（@saki.safwa）,東京都,Instagram / TikTok / Threads,,https://www.instagram.com/saki.safwa/,InstagramDM,-,-,★★,12.1万フォロワー。日本人ムスリマ。PRコラボ・サンプル送付でレビュー依頼
